
[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
753983.646547102_1828841.72433214,753983.646547102,1828841.72433214
753983.651606977_1828841.22406658,753983.651606977,1828841.22406658
753983.656560066_1828840.72379976,753983.656560066,1828840.72379976
754036.293281515_1826151.96412891,754036.293281515,1826151.96412891
754036.298226505_1826151.46386298,754036.298226505,1826151.46386298
754036.303063392_1826150.96370652,754036.303063392,1826150.96370652
754036.310799629_1826150.16374393,754036.310799629,1826150.16374393
754038.646792087_1828877.79954056,754038.646792087,1828877.79954056
754051.494964646_1828851.56541493,754051.494964646,1828851.56541493
754351.028315935_1824678.15352304,754351.028315935,1824678.15352304
754351.033261825_1824677.65336751,754351.033261825,1824677.65336751
754351.038315825_1824677.15310251,754351.038315825,1824677.15310251
754351.046397529_1824676.35314333,754351.046397529,1824676.35314333
754424.449404455_1825334.14906712,754424.449404455,1825334.14906712
754424.889624513_1825333.91158069,754424.889624513,1825333.91158069
754457.888679983_1825349.99705967,754457.888679983,1825349.99705967
754457.89659858_1825349.19709886,754457.89659858,1825349.19709886
754457.901550587_1825348.69683202,754457.901550587,1825348.69683202
754457.906608086_1825348.19667717,754457.906608086,1825348.19667717
754463.197107763_1825337.35369267,754463.197107763,1825337.35369267
754812.040545485_1827971.8846281,754812.040545485,1827971.8846281
754835.298281388_1828019.46533037,754835.298281388,1828019.46533037
754835.306228482_1828018.66536984,754835.306228482,1828018.66536984
754835.311197233_1828018.16521156,754835.311197233,1828018.16521156
754835.316167292_1828017.66494259,754835.316167292,1828017.66494259
754851.088287918_1827972.69588129,754851.088287918,1827972.69588129
754920.284070809_1825135.59646312,754920.284070809,1825135.59646312
754969.715307932_1825166.53302167,754969.715307932,1825166.53302167
755005.055933109_1825140.82253024,755005.055933109,1825140.82253024
755005.06089711_1825140.32226189,755005.06089711,1825140.32226189
755005.065859797_1825139.82210426,755005.065859797,1825139.82210426
755005.073797203_1825139.02214364,755005.073797203,1825139.02214364
755040.691834789_1832344.12430895,755040.691834789,1832344.12430895
755097.909533578_1832442.5776836,755097.909533578,1832442.5776836
755154.683001085_1829894.89693899,755154.683001085,1829894.89693899
755187.803785423_1829938.69162405,755187.803785423,1829938.69162405
755188.303950739_1829938.69657246,755188.303950739,1829938.69657246
755188.80422152_1829938.70163284,755188.80422152,1829938.70163284
755189.604180595_1829938.70972465,755189.604180595,1829938.70972465
755506.974874931_1831790.69856784,755506.974874931,1831790.69856784
755507.77483556_1831790.70650458,755507.77483556,1831790.70650458
755508.275065495_1831790.71146757,755508.275065495,1831790.71146757
755508.775294113_1831790.71654125,755508.775294113,1831790.71654125
755684.441303675_1830945.45023119,755684.441303675,1830945.45023119
755882.330160732_1831099.75136632,755882.330160732,1831099.75136632
755882.335059154_1831099.25109179,755882.335059154,1831099.25109179
755882.340169802_1831098.75093049,755882.340169802,1831098.75093049
755882.348343775_1831097.95097225,755882.348343775,1831097.95097225
755969.305585227_1831112.91705598,755969.305585227,1831112.91705598
755973.397872748_1828163.30228257,755973.397872748,1828163.30228257
755973.405692147_1828162.50232079,755973.405692147,1828162.50232079
755973.410581097_1828162.00215787,755973.410581097,1828162.00215787
755973.415471364_1828161.50188422,755973.415471364,1828161.50188422
755997.70971884_1824233.00251099,755997.70971884,1824233.00251099
755997.714701424_1824232.5023508,755997.714701424,1824232.5023508
755997.719578511_1824232.00207866,755997.719578511,1824232.00207866
755997.727377235_1824231.20211667,755997.727377235,1824231.20211667
756013.429368324_1824924.07786404,756013.429368324,1824924.07786404
756021.346642016_1824941.52380265,756021.346642016,1824941.52380265
756069.689034995_1824931.35721189,756069.689034995,1824931.35721189
756962.746564345_1830446.57939335,756962.746564345,1830446.57939335
756962.75148434_1830446.07922661,756962.75148434,1830446.07922661
756962.756512439_1830445.57895043,756962.756512439,1830445.57895043
756962.76455255_1830444.77899083,756962.76455255,1830444.77899083
